199.16.156.21,131.202.240.150,2015-03-30 09:42:42,1.0
209.148.205.26,131.202.240.150,2015-03-30 09:44:59,137.0
24.156.140.40,131.202.240.150,2015-03-30 09:45:00,1.0
59.37.97.145,131.202.240.150,2015-03-30 09:45:10,10.0
88.249.161.138,131.202.240.150,2015-03-30 10:11:42,1592.0
131.202.240.87,131.202.240.150,2015-03-30 10:12:03,21.0
209.148.205.16,131.202.240.150,2015-03-30 10:12:34,31.0
58.232.113.128,131.202.240.150,2015-03-30 10:12:50,16.0
24.156.140.67,131.202.240.150,2015-03-30 10:13:48,58.0
54.235.169.60,131.202.240.150,2015-03-30 10:20:53,425.0
31.13.73.7,131.202.240.150,2015-03-30 10:21:03,10.0
173.194.123.88,131.202.240.150,2015-03-30 10:21:39,36.0
24.156.140.26,131.202.240.150,2015-03-30 10:22:36,57.0
131.202.240.183,131.202.240.150,2015-03-30 10:38:42,966.0
54.243.71.182,131.202.240.150,2015-03-30 10:38:47,5.0
119.28.2.188,131.202.240.150,2015-03-30 10:40:08,81.0
173.194.123.101,131.202.240.150,2015-03-30 10:41:09,61.0
173.194.123.70,131.202.240.150,2015-03-30 10:41:09,0.0
173.194.76.127,131.202.240.150,2015-03-30 11:01:36,1227.0
173.194.204.189,131.202.240.150,2015-03-30 11:01:58,22.0
216.58.219.237,131.202.240.150,2015-03-30 11:02:23,25.0
74.125.227.248,131.202.240.150,2015-03-30 11:02:32,9.0
173.194.123.105,131.202.240.150,2015-03-30 11:03:25,53.0
216.58.217.142,131.202.240.150,2015-03-30 11:05:24,119.0
173.194.123.118,131.202.240.150,2015-03-30 11:06:36,72.0
216.58.219.193,131.202.240.150,2015-03-30 11:19:49,793.0
173.194.123.103,131.202.240.150,2015-03-30 11:19:50,1.0
216.58.221.3,131.202.240.150,2015-03-30 11:19:57,7.0
173.194.123.100,131.202.240.150,2015-03-30 11:20:25,28.0
173.194.123.98,131.202.240.150,2015-03-30 11:21:25,60.0
173.194.123.104,131.202.240.150,2015-03-30 11:37:24,959.0
173.194.123.110,131.202.240.150,2015-03-30 11:44:34,430.0
173.194.123.117,131.202.240.150,2015-03-30 11:44:35,1.0
74.125.136.94,131.202.240.150,2015-03-30 11:44:45,10.0
74.125.226.22,131.202.240.150,2015-03-30 11:48:29,224.0
